--- Page 1 ---
Field: f1_01[0] | Y=732 | X=228
Field: f1_02[0] | Y=732 | X=365
Field: f1_03[0] | Y=732 | X=468
Field: c1_1[0] | Y=722 | X=36
Field: c1_2[0] | Y=722 | X=155
Field: c1_3[0] | Y=722 | X=374
Field: f1_04[0] | Y=720 | X=209
Field: f1_05[0] | Y=720 | X=417
Field: f1_06[0] | Y=720 | X=439
Field: f1_07[0] | Y=720 | X=460
Field: f1_08[0] | Y=720 | X=511
Field: f1_09[0] | Y=720 | X=532
Field: f1_10[0] | Y=720 | X=554
Field: c1_4[0] | Y=710 | X=36
Field: f1_11[0] | Y=708 | X=68
Field: f1_12[0] | Y=708 | X=238
Field: f1_13[0] | Y=708 | X=411
Field: f1_14[0] | Y=684 | X=36
Field: f1_15[0] | Y=684 | X=253
Field: f1_16[0] | Y=684 | X=469
Field: f1_17[0] | Y=659 | X=36
Field: f1_18[0] | Y=659 | X=253
Field: f1_19[0] | Y=659 | X=469
Field: c1_5[0] | Y=637 | X=568
Field: f1_20[0] | Y=635 | X=36
Field: f1_21[0] | Y=635 | X=418
Field: f1_22[0] | Y=612 | X=36
Field: f1_23[0] | Y=612 | X=332
Field: f1_24[0] | Y=612 | X=397
Field: c1_6[0] | Y=589 | X=482
Field: c1_7[0] | Y=589 | X=525
Field: f1_25[0] | Y=587 | X=36
Field: f1_26[0] | Y=587 | X=224
Field: f1_27[0] | Y=587 | X=397
Field: c1_8[0] | Y=578 | X=97
Field: c1_8[0] | Y=578 | X=349
Field: c1_8[1] | Y=566 | X=97
Field: c1_8[1] | Y=566 | X=349
Field: c1_8[2] | Y=554 | X=97
Field: f1_28[0] | Y=540 | X=180
Field: f1_29[0] | Y=534 | X=362
Field: c1_9[0] | Y=525 | X=97
Field: f1_30[0] | Y=513 | X=313
Field: c1_10[0] | Y=497 | X=518
Field: c1_10[1] | Y=497 | X=554
Field: f1_31[0] | Y=471 | X=145
Field: f1_32[0] | Y=471 | X=253
Field: f1_33[0] | Y=471 | X=361
Field: f1_34[0] | Y=471 | X=469
Field: f1_35[0] | Y=459 | X=145
Field: f1_36[0] | Y=459 | X=253
Field: f1_37[0] | Y=459 | X=361
Field: f1_38[0] | Y=459 | X=469
Field: f1_39[0] | Y=447 | X=145
Field: f1_40[0] | Y=447 | X=253
Field: f1_41[0] | Y=447 | X=361
Field: f1_42[0] | Y=447 | X=469
Field: f1_43[0] | Y=435 | X=145
Field: f1_44[0] | Y=435 | X=253
Field: f1_45[0] | Y=435 | X=361
Field: f1_46[0] | Y=435 | X=469
Field: c1_12[0] | Y=424 | X=169
Field: c1_14[0] | Y=424 | X=277
Field: c1_16[0] | Y=424 | X=385
Field: c1_18[0] | Y=424 | X=493
Field: c1_11[0] | Y=415 | X=79
Field: c1_13[0] | Y=413 | X=169
Field: c1_15[0] | Y=413 | X=277
Field: c1_17[0] | Y=413 | X=385
Field: c1_19[0] | Y=413 | X=493
Field: c1_20[0] | Y=401 | X=148
Field: c1_21[0] | Y=401 | X=198
Field: c1_22[0] | Y=401 | X=256
Field: c1_23[0] | Y=401 | X=306
Field: c1_24[0] | Y=401 | X=364
Field: c1_25[0] | Y=401 | X=414
Field: c1_26[0] | Y=401 | X=472
Field: c1_27[0] | Y=401 | X=522
Field: c1_28[0] | Y=380 | X=148
Field: c1_28[1] | Y=380 | X=198
Field: c1_29[0] | Y=380 | X=256
Field: c1_29[1] | Y=380 | X=306
Field: c1_30[0] | Y=380 | X=364
Field: c1_30[1] | Y=380 | X=414
Field: c1_31[0] | Y=380 | X=472
Field: c1_31[1] | Y=380 | X=522
Field: c1_32[0] | Y=359 | X=95
Field: f1_47[0] | Y=330 | X=504
Field: f1_48[0] | Y=318 | X=504
Field: f1_49[0] | Y=306 | X=504
Field: f1_50[0] | Y=294 | X=504
Field: f1_51[0] | Y=282 | X=504
Field: f1_52[0] | Y=270 | X=504
Field: f1_53[0] | Y=258 | X=504
Field: f1_54[0] | Y=247 | X=344
Field: f1_55[0] | Y=246 | X=504
Field: f1_56[0] | Y=234 | X=410
Field: f1_57[0] | Y=222 | X=504
Field: f1_58[0] | Y=210 | X=252
Field: f1_59[0] | Y=210 | X=504
Field: f1_60[0] | Y=198 | X=252
Field: f1_61[0] | Y=198 | X=504
Field: c1_33[0] | Y=187 | X=283
Field: c1_34[0] | Y=187 | X=363
Field: f1_62[0] | Y=174 | X=252
Field: f1_63[0] | Y=174 | X=504
Field: c1_35[0] | Y=163 | X=283
Field: c1_36[0] | Y=163 | X=363
Field: c1_37[0] | Y=163 | X=427
Field: f1_64[0] | Y=162 | X=439
Field: f1_65[0] | Y=150 | X=252
Field: f1_66[0] | Y=150 | X=504
Field: c1_38[0] | Y=139 | X=283
Field: c1_39[0] | Y=139 | X=363
Field: c1_40[0] | Y=139 | X=427
Field: f1_67[0] | Y=138 | X=439
Field: f1_68[0] | Y=126 | X=252
Field: f1_69[0] | Y=126 | X=504
Field: c1_41[0] | Y=116 | X=467
Field: c1_42[0] | Y=104 | X=467
